Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
0,0,20,0.00375000000002873,0,0,0,3
0.005,0.0149998945313736,20.0000562498682,0.00375000000002873,-5.49785176881346e-22,-2.20898352776146e-19,-8.32650813108605e-20,3
0.01,0.0299997890627472,20.0001124997363,0.00375000000002873,-2.21878576019773e-21,-4.47704003826878e-19,-1.66530162621721e-19,3
0.015,0.0449996835941208,20.0001687496045,0.00375000000002873,-6.62558454911915e-21,-1.31888034654082e-18,-4.90416280562832e-19,3
0.02,0.0599995781254944,20.0002249994727,0.00375000000002873,-1.54460774538405e-20,-2.2132520042608e-18,-8.14302398503942e-19,3
0.025,0.0749994738694387,20.0002809247414,0.00375000000002873,-6.7083577326393e-07,-0.00026953530856888,-0.000101598219733575,3
0.03,0.0899993720197928,20.0003362008111,0.00375000000002873,-2.7073135539819e-06,-0.00054627857248572,-0.000203196439467149,3
0.035,0.10499927407459,20.000390405614,0.00375000000002873,-7.01806694368165e-06,-0.00118082952405673,-0.000436899928770441,3
0.04,0.119999181451481,20.0004431170819,0.00374476870697826,-1.45435595478759e-05,-0.00183222549915829,-0.000670603418073732,3
0.045,0.134999095542675,20.0004938796254,0.00374476870697826,-2.61481577975393e-05,-0.00281391969130238,-0.00102234354704783,3
0.05,0.149999017071705,20.0005423945919,0.00372750401817998,-4.27256347889171e-05,-0.00382145625186497,-0.00137408367602192,3
0.055,0.164998947557011,20.0005880532402,0.00372750401817998,-6.51292367292397e-05,-0.00514574511832406,-0.00183529964777129,3
0.06,0.179998886723614,20.0006307647659,0.00369212821579421,-9.42404481745828e-05,-0.00650460694625029,-0.00229651561952066,3
0.065,0.194998836036482,20.0006697470627,0.00369212821579421,-0.000130753419168075,-0.00810748899961178,-0.00283643850053244,3
0.07,0.209998793918715,20.000705279292,0.00363300435008216,-0.000175384118449946,-0.00975182761048235,-0.00337636138154423,3
0.075,0.224998761798427,20.0007363019811,0.00363300435008216,-0.000228698474989901,-0.0115817231995353,-0.00397030863234115,3
0.08,0.239998737047379,20.0007635293658,0.00354607971338374,-0.000291279095141613,-0.0134584806868649,-0.00456425588313807,3
0.085,0.254998720884151,20.0007855183075,0.00354607971338374,-0.000363650280556061,-0.0154986159172841,-0.00520178845648663,3
0.09,0.269998710139695,20.0008034333997,0.00342857243215044,-0.000446351102463096,-0.0175904998380988,-0.00583932102983518,3
0.095,0.2849987052707,20.0008154589475,0.00342857243215044,-0.000539752425985864,-0.0197791815962774,-0.00649346209701376,3
0.1,0.299998703170424,20.0008233044699,0.00327823804922335,-0.000644234034759153,-0.0220227904276603,-0.00714760316419234,3
0.105,0.314998703056987,20.0008246843807,0.00327823804922335,-0.000760136321867592,-0.024347746828871,-0.00781130387049849,3
0.11,0.329998702734128,20.0008218231221,0.00309422106799666,-0.000887807297817154,-0.0267304533953222,-0.00847500457680464,3
0.115,0.344998699472905,20.0008120047844,0.00309422106799666,-0.00102744680872289,-0.0291351886934666,-0.00912481648662864,3
0.12,0.35999869291888,20.0007980339658,0.00287602885626386,-0.00117925711758231,-0.0315989663853099,-0.00977462839645263,3
0.125,0.374998677745302,20.0007767291796,0.00287602885626386,-0.0013433473963546,-0.0340470369502585,-0.0103958258963733,3
0.13,0.389998656408204,20.000751454701,0.00262437612042849,-0.00151982595254435,-0.036554474595228,-0.011017023396294,3
0.135,0.404998620227254,20.0007185270226,0.00262437612042849,-0.00170880387947717,-0.0390466494419722,-0.0116096438145929,3
0.14,0.419998575254752,20.0006818122051,0.00234073580717886,-0.00191039151829537,-0.0415985600906948,-0.0122022642328918,3
0.145,0.434998508881926,20.0006372009778,0.00234073580717886,-0.00212459018933951,-0.0440907301345107,-0.0127493952746534,3
0.15,0.449998431702652,20.0005890932505,0.00202657895022379,-0.00235139657601957,-0.0466418470239239,-0.0132965263164149,3
0.155,0.464998326477374,20.0005329159922,0.00202657895022379,-0.00259082051465137,-0.0491374409027653,-0.0138000552843225,3
0.16,0.479998208855278,20.0004735208231,0.00168424751338196,-0.00284286764709372,-0.0516913254447073,-0.01430358425223,3
0.165,0.494998056680121,20.000405959317,0.00168424751338196,-0.0031074470002333,-0.0541498447237339,-0.0147487399175777,3
0.17,0.509997891421287,20.0003355529023,0.00131598634922391,-0.00338445992722673,-0.0566649528325271,-0.0151938955829255,3
0.175,0.524997685649544,20.0002569868841,0.00131598634922391,-0.00367376010456746,-0.0590641734404767,-0.0155735907121566,3
0.18,0.539997466971473,20.0001759942696,0.000924801070314577,-0.00397519176934099,-0.0615177408109287,-0.0159532858413876,3
0.185,0.554997202332782,20.0000868946636,0.000924801070314577,-0.00428864251225293,-0.0638713091698573,-0.0162743654897707,3
0.19,0.5699969253646,19.9999957430434,0.000514062389590713,-0.00461399195163776,-0.0662774086713924,-0.0165954451381538,3
0.195,0.584996597712023,19.9998966004469,0.000514062389590713,-0.00495104684887377,-0.0685528645489991,-0.0168470509972665,3
0.2,0.599996259344778,19.9997958498271,8.67886405181423e-05,-0.00529960331691119,-0.0708782199116646,-0.0170986568563791,3
0.205,0.614995866426562,19.9996872806334,8.67886405181423e-05,-0.00565950362973849,-0.0730898554473417,-0.0172881744976328,3
0.21,0.629995464692447,19.9995775002172,-0.00035344254222025,-0.00603058096168006,-0.0753492052848681,-0.0174776921388865,3
0.215,0.64499500553696,19.999460135798,-0.00035344254222025,-0.00641260026785293,-0.0774659740308838,-0.0175950780677263,3
0.22,0.659994540492546,19.9993420211535,-0.000803433771271272,-0.00680531487569179,-0.0796274959833055,-0.0177124639965661,3
