0,0.23181,20,0.0029358,0,-5.48e-08,-8.1634e-08,3.0003
0.01,0.26181,20,0.0029358,0.00052128,-8.5443e-05,-6.7501e-05,3.0001
0.02,0.29181,20,0.0029341,0.0021278,-0.00057022,-0.00034759,3.0001
0.03,0.32181,20,0.0029251,0.0038642,-0.001756,-0.00086545,3
0.04,0.35181,20,0.0029029,0.0055492,-0.0036697,-0.0016138,3
0.05,0.38181,20,0.0028613,0.006788,-0.0062525,-0.0025368,3
0.06,0.41181,20,0.002796,0.0078114,-0.0093961,-0.0036072,3
0.07,0.44181,20,0.0027031,0.0083765,-0.013023,-0.0047701,3
0.08,0.47181,20.001,0.0025803,0.008597,-0.017011,-0.0059835,3
0.09,0.50181,20.001,0.0024263,0.0087018,-0.021303,-0.0072369,3
0.1,0.70444,20.001,0.0019399,0.0084368,-0.025858,-0.0084889,3.0003
0.11,0.73444,20.001,0.0017213,0.0084246,-0.03066,-0.0097759,3.0001
0.12,0.76445,20,0.0014697,0.0078128,-0.03572,-0.01103,3
0.13,0.79445,20,0.0011857,0.0070384,-0.040887,-0.012233,3
0.14,0.82445,20,0.00087075,0.0059302,-0.046104,-0.013347,3
0.15,0.85445,20,0.00052714,0.0046208,-0.051285,-0.014352,3
0.16,0.88445,20,0.00015764,0.003339,-0.056412,-0.015258,3
0.17,0.91445,20,-0.00023518,0.0018234,-0.061479,-0.016043,3
0.18,0.94445,20,-0.0006482,0.0003371,-0.066446,-0.016714,3
0.19,0.97445,19.999,-0.0010785,-0.0013661,-0.071304,-0.017252,3
0.2,0.23619,19.999,-0.0021189,-0.0031853,-0.075993,-0.017646,2.9987
0.21,0.26618,19.999,-0.0025732,-0.0049731,-0.080499,-0.017905,2.9995
0.22,0.29617,19.999,-0.0030341,-0.0068814,-0.084823,-0.01802,2.9998
0.23,0.32617,19.998,-0.0034981,-0.0088504,-0.08893,-0.017989,2.9999
0.24,0.35617,19.998,-0.0039612,-0.010851,-0.092804,-0.017811,3
0.25,0.38617,19.998,-0.0044198,-0.012868,-0.09644,-0.017491,3
0.26,0.41616,19.997,-0.0048701,-0.014892,-0.099832,-0.01703,3
0.27,0.44616,19.997,-0.0053085,-0.016915,-0.10298,-0.016435,3
0.28,0.47616,19.997,-0.0057316,-0.018931,-0.10588,-0.015709,3
0.29,0.50616,19.996,-0.006136,-0.020936,-0.10854,-0.014857,3
0.3,0.39864,19.996,-0.0069204,-0.022923,-0.11096,-0.013886,2.9998
0.31,0.42864,19.996,-0.0072779,-0.024895,-0.11313,-0.0128,2.9999
0.32,0.45864,19.995,-0.0076074,-0.026838,-0.11507,-0.011606,3
0.33,0.48863,19.995,-0.0079062,-0.028751,-0.11677,-0.010309,3
0.34,0.51863,19.995,-0.0081716,-0.030632,-0.11825,-0.0089168,3
0.35,0.54863,19.994,-0.0084012,-0.03248,-0.11951,-0.0074349,3
0.36,0.57863,19.994,-0.0085926,-0.034291,-0.12056,-0.0058696,3
0.37,0.60863,19.994,-0.0087437,-0.036065,-0.1214,-0.0042272,3
0.38,0.63863,19.993,-0.0088525,-0.0378,-0.12204,-0.0025137,3
0.39,0.66862,19.993,-0.0089172,-0.039494,-0.12249,-0.00073527,3
0.4,0.84182,19.994,-0.0070571,-0.041147,-0.12276,0.0011024,3.0002
0.41,0.87182,19.993,-0.0070288,-0.042951,-0.12282,0.003018,3.0001
0.42,0.90182,19.993,-0.0069511,-0.044568,-0.12265,0.0049894,3
0.43,0.93182,19.993,-0.0068226,-0.046084,-0.12232,0.0070017,3
0.44,0.96183,19.993,-0.0066424,-0.047537,-0.12183,0.0090472,3
0.45,0.99183,19.993,-0.0064094,-0.048941,-0.12122,0.01112,3
0.46,1.0218,19.993,-0.0061231,-0.050133,-0.1205,0.013194,3
0.47,1.0518,19.993,-0.0057835,-0.051408,-0.11971,0.015279,3
0.48,1.0818,19.993,-0.0053901,-0.052689,-0.11881,0.017379,3
0.49,1.1118,19.993,-0.0049427,-0.053779,-0.11784,0.019469,3
0.5,0.3501,19.993,-0.0079926,-0.054959,-0.11681,0.021561,2.9986
0.51,0.38008,19.993,-0.0074375,-0.055996,-0.11572,0.023641,2.9995
0.52,0.41008,19.993,-0.0068288,-0.057124,-0.11458,0.025719,2.9998
0.53,0.44008,19.993,-0.0061667,-0.058261,-0.11336,0.027798,2.9999
0.54,0.47008,19.993,-0.005451,-0.059375,-0.11206,0.029879,3
0.55,0.50008,19.994,-0.0046818,-0.060455,-0.11067,0.031958,3
0.56,0.53008,19.994,-0.003859,-0.061498,-0.10922,0.034032,3
0.57,0.56008,19.994,-0.0029829,-0.062502,-0.10769,0.036097,3
0.58,0.59008,19.995,-0.0020536,-0.06347,-0.1061,0.038152,3
0.59,0.62009,19.995,-0.0010713,-0.0644,-0.10446,0.040192,3
0.6,1.8922,19.997,0.0022679,-0.065296,-0.10277,0.042216,3.0021
0.61,1.9223,19.997,0.0033548,-0.064528,-0.1013,0.04401,3.0008
0.62,1.9523,19.998,0.0044878,-0.064779,-0.10032,0.045695,3.0003
