0,0.11274,20,0,0,0,0,3,0
0.01,0.75473,20,2.6188e-05,-6.2091e-05,-5.946e-05,-2.3096e-05,3,-0.0023096
0.02,-0.27114,20,0.00029632,-0.00067354,-0.00064181,-0.00024929,3,-0.02262
0.03,0.40646,20,0.00096766,-0.0019502,-0.0018297,-0.00071072,3,-0.046142
0.04,0.062043,20,0.0021865,-0.0039272,-0.0036233,-0.0014074,3,-0.069665
0.05,-0.12266,20,0.0040441,-0.0064929,-0.0058804,-0.0022841,3,-0.087672
0.06,-0.29087,20,0.0066419,-0.0096106,-0.0085374,-0.0033161,3,-0.1032
0.07,0.043581,20,0.010036,-0.013155,-0.011448,-0.0044467,3,-0.11305
0.08,0.18249,20,0.014275,-0.017036,-0.014506,-0.0056344,3,-0.11878
0.09,0.079726,20,0.019419,-0.021241,-0.017685,-0.0068691,3,-0.12347
0.1,0.46163,20.001,0.025489,-0.025666,-0.020871,-0.0081069,3,-0.12378
0.11,0.45706,20.001,0.032528,-0.030303,-0.024049,-0.0093412,3,-0.12343
0.12,0.25616,20.001,0.040561,-0.035114,-0.027174,-0.010555,3,-0.12137
0.13,0.69632,20.001,0.04958,-0.039995,-0.03014,-0.011707,3,-0.11521
0.14,0.13651,20.001,0.059573,-0.044883,-0.032887,-0.012774,3,-0.10671
0.15,-0.37127,20.001,0.07055,-0.049797,-0.035435,-0.013764,3,-0.098957
0.16,-0.18907,20.001,0.082486,-0.05466,-0.037712,-0.014648,3,-0.088476
0.17,0.8731,20.001,0.095378,-0.05949,-0.039741,-0.015436,3,-0.078792
0.18,0.16412,20.001,0.10919,-0.064215,-0.041456,-0.016103,3,-0.066629
0.19,-0.0035528,20.001,0.12389,-0.068797,-0.042829,-0.016636,3,-0.053331
0.2,0.33482,20,0.13946,-0.073272,-0.043904,-0.017053,3,-0.041754
0.21,0.36399,20,0.15585,-0.077576,-0.044627,-0.017334,3,-0.028063
0.22,0.44729,20,0.17302,-0.081683,-0.044984,-0.017473,3,-0.013872
0.23,0.44457,20,0.19091,-0.085521,-0.044917,-0.017447,3,0.0026095
0.24,0.53238,20,0.20947,-0.089122,-0.044471,-0.017274,3,0.017303
0.25,1.0715,20,0.22865,-0.092496,-0.04367,-0.016963,3,0.031108
0.26,0.62326,20,0.24843,-0.095645,-0.042528,-0.016519,3,0.044367
0.27,1.0045,20,0.26875,-0.098568,-0.041056,-0.015947,3,0.057181
0.28,0.84347,20,0.28958,-0.10132,-0.039323,-0.015274,3,0.067319
0.29,0.70618,20,0.3109,-0.10387,-0.037298,-0.014487,3,0.078656
0.3,0.71457,19.997,0.33266,-0.10626,-0.035035,-0.013608,3,0.087905
0.31,0.75462,19.997,0.35479,-0.10838,-0.03244,-0.012601,3,0.10077
0.32,0.82565,19.997,0.37729,-0.11032,-0.029612,-0.011502,3,0.10987
0.33,0.5016,19.997,0.40009,-0.11205,-0.026531,-0.010305,3,0.11965
0.34,1.5787,19.997,0.42319,-0.11363,-0.02326,-0.0090346,3,0.12708
0.35,1.2125,19.997,0.44653,-0.11501,-0.019765,-0.0076773,3,0.13574
0.36,0.68565,19.997,0.47007,-0.11619,-0.016046,-0.0062326,3,0.14447
0.37,0.59091,19.997,0.49379,-0.11721,-0.012169,-0.0047268,3,0.15058
0.38,0.85205,19.997,0.51765,-0.11806,-0.008107,-0.003149,3,0.15779
0.39,1.1385,19.997,0.54164,-0.11878,-0.0039159,-0.001521,3,0.16279
0.4,1.1147,19.994,0.56571,-0.11932,0.0004366,0.00016959,3,0.16906
0.41,0.79282,19.994,0.58985,-0.11974,0.0048974,0.0019023,3,0.17327
0.42,0.91134,19.994,0.61401,-0.12,0.0094978,0.0036892,3,0.17869
0.43,1.1911,19.994,0.63819,-0.12015,0.014182,0.0055088,3,0.18196
0.44,1.5676,19.994,0.66235,-0.12015,0.018984,0.0073739,3,0.18651
0.45,1.1843,19.994,0.68648,-0.12005,0.023849,0.0092634,3,0.18895
0.46,1.4916,19.994,0.71053,-0.11981,0.02881,0.01119,3,0.1927
0.47,1.0347,19.994,0.73449,-0.11943,0.033871,0.013156,3,0.1966
0.48,1.1916,19.994,0.75835,-0.11896,0.038967,0.015136,3,0.19793
0.49,1.244,19.994,0.78207,-0.11837,0.044127,0.01714,3,0.20045
0.5,0.98163,19.994,0.80563,-0.11766,0.049356,0.019171,3,0.20311
0.51,0.78179,19.994,0.82903,-0.11687,0.054593,0.021205,3,0.2034
0.52,1.6264,19.994,0.85224,-0.11599,0.059866,0.023253,3,0.20481
0.53,1.4515,19.994,0.87523,-0.115,0.065178,0.025317,3,0.20635
0.54,1.869,19.994,0.89796,-0.11384,0.070581,0.027416,3,0.20987
0.55,1.4796,19.994,0.92042,-0.11257,0.076023,0.029529,3,0.21136
0.56,1.3745,19.994,0.9426,-0.1112,0.081476,0.031647,3,0.21182
0.57,1.3308,19.994,0.96447,-0.10975,0.086925,0.033764,3,0.21166
0.58,1.7061,19.994,0.98603,-0.10823,0.092359,0.035875,3,0.21107
0.59,1.6586,19.994,1.0073,-0.1067,0.097712,0.037954,3,0.2079
0.6,2.0719,19.997,1.0282,-0.10513,0.10302,0.040015,3,0.20608
0.61,2.419,19.997,1.049,-0.1039,0.10792,0.041918,3,0.19033
0.62,1.9928,19.997,1.0696,-0.10274,0.11268,0.043769,3,0.18516
0.63,1.2587,19.997,1.0899,-0.10155,0.11742,0.045608,3,0.1839
0.64,1.8422,19.997,1.11,-0.10036,0.12209,0.047424,3,0.18157
0.65,2.2743,19.997,1.1298,-0.099114,0.12675,0.049235,3,0.18104
0.66,1.4848,19.997,1.1494,-0.097868,0.13136,0.051022,3,0.17872
0.67,1.7923,19.997,1.1687,-0.096578,0.13594,0.052802,3,0.17798
